DeploymentID,Site,MOP,Depth_m,AltimeterFiles,EchosounderFiles,TZ_offset_hours,Active,Notes
"SouthSIOPier_MOP511_6m_20240402","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20240402_121226_RANGELOGGER450kHz_ID_0208.log","SouthSIOPier/data/EchologgerData/20240401-20240402MOP511_6m.log|SouthSIOPier/data/EchologgerData/20240402-20240419MOP511_6m.log",7,1,""
"SouthSIOPier_MOP511_6m_20240423","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20240423_124416_RANGELOGGER450kHz_ID_0208.log","SouthSIOPier/data/EchologgerData/20240424-20240531MOP511_6m.log",7,1,""
"SouthSIOPier_MOP511_6m_20240531","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20240531_144756_RANGELOGGER450kHz_ID_0208.log","SouthSIOPier/data/EchologgerData/20240611-20240711MOP511_6m.log",7,1,"echosounder gap May 31 - Jun 11; verify"
"SouthSIOPier_MOP511_6m_20240711","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20240711_154044_RANGELOGGER450kHz_ID_0208.log","SouthSIOPier/data/EchologgerData/20240711-20240810MOP511_6m.log",7,1,""
"SouthSIOPier_MOP511_6m_20240813","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20240813_142324_RANGELOGGER450kHz_ID_0207.log","SouthSIOPier/data/EchologgerData/20240813-20240918MOP511_6m.log",7,1,""
"SouthSIOPier_MOP511_6m_20240919","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20240919_100642_RANGELOGGER450kHz_ID_0127.log","SouthSIOPier/data/EchologgerData/20240917-20241023MOP511_6m.log",7,1,"echosounder starts Sep 17; verify overlap"
"SouthSIOPier_MOP511_6m_20241028","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20241028_140002_RANGELOGGER450kHz_ID_0207.log","SouthSIOPier/data/EchologgerData/20241024-20241119MOP511_6m.log",7,1,""
"SouthSIOPier_MOP511_6m_20241119","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20241119_151117_RANGELOGGER450kHz_ID_0127.log","SouthSIOPier/data/EchologgerData/20241119-20241207MOP511_6m.log",7,1,""
"SouthSIOPier_MOP511_6m_20241220","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20241220_224029_RANGELOGGER450kHz_ID_0207.log","SouthSIOPier/data/EchologgerData/20241220-20250107MOP511_6m.log",8,1,"PST - check DST transition"
"SouthSIOPier_MOP511_6m_20250123","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20250123_130707_RANGELOGGER450kHz_ID_0130.log","SouthSIOPier/data/EchologgerData/20250107-20250123MOP511_6m.log|SouthSIOPier/data/EchologgerData/20250123-20250227MOP511_6m.log",8,1,"PST period"
"SouthSIOPier_MOP511_6m_20250310","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20250310_114345_RANGELOGGER450kHz_ID_0060.log","SouthSIOPier/data/EchologgerData/20250227-20250310MOP511_6m.log|SouthSIOPier/data/EchologgerData/20250310-20250319MOP511_6m.log",7,1,""
"SouthSIOPier_MOP511_6m_20250417","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20250417_160706_RANGELOGGER450kHz_ID_0130.log","SouthSIOPier/data/EchologgerData/20250319-20250328MOP511_6m.log|SouthSIOPier/data/EchologgerData/20250328-20250406MOP511_6m.log|SouthSIOPier/data/EchologgerData/20250406-20250415MOP511_6m.log|SouthSIOPier/data/EchologgerData/20250415-20250417MOP511_6m.log",7,1,""
"SouthSIOPier_MOP511_6m_20250521","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20250521_101218_RANGELOGGER450kHz_ID_0127.log","",7,1,"verify echosounder files for this period"
"SouthSIOPier_MOP511_6m_20250625","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20250625_141603_RANGELOGGER450kHz_ID_0130.log","",7,1,"verify echosounder files for this period"
"SouthSIOPier_MOP511_6m_20250721","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20250721_121530_RANGELOGGER450kHz_ID_0207.log","",7,1,"verify echosounder files for this period"
"SouthSIOPier_MOP511_6m_20250821","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20250821_112312_RANGELOGGER450kHz_ID_0130.log","",7,1,"verify echosounder files for this period"
"SouthSIOPier_MOP511_6m_20250924","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20250924_201028_RANGELOGGER450kHz_ID_0207.log","",7,1,"verify echosounder files for this period"
"SouthSIOPier_MOP511_6m_20251031","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20251031_211434_RANGELOGGER450kHz_ID_0130.log","",8,1,"PST period; verify echosounder"
"SouthSIOPier_MOP511_6m_20251126","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20251126_091304_RANGELOGGER450kHz_ID_0207.log","",8,1,"PST period; verify echosounder"
"SouthSIOPier_MOP511_6m_20260105","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20260105_103603_RANGELOGGER450kHz_ID_0130.log","",8,1,"PST period; verify echosounder"
"SouthSIOPier_MOP511_6m_20260122","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20260122_103657_RANGELOGGER450kHz_ID_0207.log","",8,1,"PST period; verify echosounder"
"SouthSIOPier_MOP511_6m_20260226","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20260226_214521_RANGELOGGER450kHz_ID_0130.log","",7,1,"verify echosounder"
"SouthSIOPier_MOP511_6m_20260326","SouthSIOPier","MOP511",6,"SouthSIOPier/data/AltimeterData/20260326_232640_RANGELOGGER450kHz_ID_0207.log","",7,1,"verify echosounder; most recent deployment"
"TorreyPines_MOP586_5m_20240725","TorreyPines","MOP586",5,"","TorreyPines/ECHO20240725_212809_169_5m.BIN",7,1,"echosounder only; .log also available: 20240725-20241105MOP586_5m.log"
"TorreyPines_MOP586_7m_20240725","TorreyPines","MOP586",7,"","TorreyPines/ECHO20241107_115635_215_7m_1.BIN|TorreyPines/ECHO20241107_115635_215_7m_2.BIN",7,1,"echosounder only; .log also available: 20240725-20241107MOP586_7m.log"
"TorreyPines_MOP586_10m_20240725","TorreyPines","MOP586",10,"","TorreyPines/ECHO20240725_210006_180_10m.BIN",7,1,"echosounder only; .log also available: 20240725-20240818MOP586_10m.log"
"TorreyPines_MOP586_7m_20241107","TorreyPines","MOP586",7,"","TorreyPines/20241107-20241109MOP586_7m.log",8,1,"very short (~2 days); echosounder .log only (no .BIN)"
"TorreyPines_MOP586_5m_20241122","TorreyPines","MOP586",5,"","TorreyPines/ECHO20241122_223110_255_5m.BIN",8,1,"echosounder only; .log also available: 20241122-20250114MOP586_5m.log"
"TorreyPines_MOP586_7m_20241122","TorreyPines","MOP586",7,"","TorreyPines/ECHO20241122_224817_562_7m.BIN",8,1,"echosounder only; .log also available: 20241122-20250114MOP586_7m.log"
"TorreyPines_MOP586_5m_20250114","TorreyPines","MOP586",5,"","TorreyPines/ECHO20250114_055110_246_5m.BIN",8,1,"echosounder only; .log also available"
"TorreyPines_MOP586_7m_20250114","TorreyPines","MOP586",7,"","TorreyPines/ECHO20250114_060817_156_7m.BIN",8,1,"echosounder only; .log also available"
"TorreyPines_MOP586_5m_20250325","TorreyPines","MOP586",5,"","TorreyPines/ECHO20250325_175753_150.BIN",7,1,"echosounder only; .log also available"
"TorreyPines_MOP586_5m_20250420","TorreyPines","MOP586",5,"","TorreyPines/ECHO20250420_213753_176.BIN",7,1,"echosounder only"
"TorreyPines_MOP586_5m_20250517","TorreyPines","MOP586",5,"","TorreyPines/ECHO20250517_011753_200.BIN",7,1,"echosounder only"
"TorreyPines_MOP586_5m_20250612","TorreyPines","MOP586",5,"","TorreyPines/ECHO20250612_045753_224.BIN",7,1,"echosounder only"
"TorreyPines_MOP586_0m_20240119","TorreyPines","MOP586",0,"TorreyPines/20240119_151750_RANGELOGGER450kHz_ID_0128.log","",8,1,"altimeter only; depth unknown - check checkout sheet"
"TorreyPines_MOP586_0m_20240213a","TorreyPines","MOP586",0,"TorreyPines/20240213_150935_RANGELOGGER450kHz_ID_0130.log","",8,1,"altimeter only; depth unknown - check checkout sheet"
"TorreyPines_MOP586_0m_20240213b","TorreyPines","MOP586",0,"TorreyPines/20240213_164124_RANGELOGGER450kHz_ID_0131.log","",8,1,"altimeter only; depth unknown - check checkout sheet"
"TorreyPines_MOP586_0m_20240214","TorreyPines","MOP586",0,"TorreyPines/20240214_162515_RANGELOGGER450kHz_ID_0127.log","",8,1,"altimeter only; depth unknown - check checkout sheet"
"TorreyPines_MOP586_0m_20240513","TorreyPines","MOP586",0,"TorreyPines/20240513_171949_RANGELOGGER450kHz_ID_0127.log","",7,1,"altimeter only; depth unknown - check checkout sheet"
"TorreyPines_MOP586_0m_20240813a","TorreyPines","MOP586",0,"TorreyPines/20240813_112413_RANGELOGGER450kHz_ID_0131.log","",7,1,"altimeter only; depth unknown - check checkout sheet"
"TorreyPines_MOP586_0m_20240814a","TorreyPines","MOP586",0,"TorreyPines/20240814_100146_RANGELOGGER450kHz_ID_0130.log","",7,1,"altimeter only; depth unknown - check checkout sheet"
"TorreyPines_MOP586_0m_20240814b","TorreyPines","MOP586",0,"TorreyPines/20240814_111056_RANGELOGGER450kHz_ID_0128.log","",7,1,"altimeter only; depth unknown - check checkout sheet"
"SolanaBeach_MOP654_0m_20240119","SolanaBeach","MOP654",0,"SolanaBeach/20240119_162029_RANGELOGGER450kHz_ID_0207.log","",8,1,"altimeter only; depth unknown - check checkout sheet"
"SolanaBeach_MOP654_7m_20241122","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20241122_230730_194_7mSolana.BIN",8,1,"echosounder only; .log also available"
"SolanaBeach_MOP654_7m_20250114","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20250114_062730_119_7mSolana.BIN",8,1,"echosounder only; .log also available"
"SolanaBeach_MOP654_7m_20250304","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20250304_192040_193.BIN",7,1,"echosounder only"
"SolanaBeach_MOP654_7m_20250409","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20250409_220040_206.BIN",7,1,"echosounder only"
"SolanaBeach_MOP654_7m_20250516","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20250516_004040_218.BIN",7,1,"echosounder only"
"SolanaBeach_MOP654_7m_20250621","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20250621_032040_107.BIN",7,1,"echosounder only; very short deployment (~3 days)"
"SolanaBeach_MOP654_7m_20251205","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20251205_212000_155.BIN",8,1,"echosounder only; PST"
"SolanaBeach_MOP654_7m_20260111","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20260111_000000_169.BIN",8,1,"echosounder only; PST"
"SolanaBeach_MOP654_7m_20260216","SolanaBeach","MOP654",7,"","SolanaBeach/ECHO20260216_024000_181.BIN",7,1,"echosounder only; very short deployment (~2 days)"
